[21/Jan/2013:15:34:57 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:35:03 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:35:07 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:35:11 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:35:16 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:35:22 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:16 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:18 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:20 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:22 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:24 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:26 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:27 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:29 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:30 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:32 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:34 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:35 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:37 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:38 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:40 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:42 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:43 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:45 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:46 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:48 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:50 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:51 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:53 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:54 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:56 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:57 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:41:59 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:42:01 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:42:02 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:42:04 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:42:05 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:42:07 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:42:09 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:15:42:10 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:44 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:45 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:46 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:46 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:47 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:48 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:48 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:49 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:50 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:50 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:51 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:52 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:52 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:53 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:53 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:54 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:55 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:55 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:56 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:57 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:57 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:58 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
